,Unnamed: 0,time,gpu_load,gpu_free_mem,gpu_used_mem,loss,dataset
31,1,25.051310062408447,0.7599999999999999,18609.272727272728,5645.727272727273,0.0023842176888138,piano-utd-poly
32,2,25.094836950302124,0.7781818181818182,18609.272727272728,5645.727272727273,0.0023430078290402,piano-utd-poly
33,3,24.96508550643921,0.7636363636363637,18609.272727272728,5645.727272727273,0.0023926275316625,piano-utd-poly
34,4,24.809693336486816,0.7745454545454545,18609.272727272728,5645.727272727273,0.0023268605582416,piano-utd-poly
35,avg,std,min,max,,,piano-utd-poly
36,25.017082691192627,0.7578181818181818,18609.309090909093,5645.6909090909085,0.0023078950121998,,piano-utd-poly
37,0.13661945016574462,0.02629772324620296,0.08131156281728676,0.08131156281810023,0.0001233691623273,,piano-utd-poly
38,24.809693336486816,0.7127272727272728,18609.272727272728,5645.545454545455,0.0020927614532411,,piano-utd-poly
39,25.164487600326535,0.7781818181818182,18609.454545454544,5645.727272727273,0.0023926275316625,,piano-utd-poly
40,0,25.83464503288269,0.7854545454545455,18603.454545454544,5651.545454545455,0.0044519854709506,gc-utd-poly
41,1,26.96829485893249,0.7645454545454545,18603.454545454544,5651.545454545455,0.0050162146799266,gc-utd-poly
42,2,26.850220680236816,0.7345454545454545,18603.454545454544,5651.545454545455,0.0061729955486953,gc-utd-poly
43,3,26.11986613273621,0.7554545454545455,18603.454545454544,5651.545454545455,0.0046754330396652,gc-utd-poly
44,4,26.34326457977295,0.75,18603.454545454544,5651.545454545455,0.0049352697096765,gc-utd-poly
45,avg,std,min,max,,,gc-utd-poly
46,26.42325825691223,0.758,18603.454545454544,5651.545454545455,0.0050503796897828,,gc-utd-poly
47,0.4806956171450252,0.018822792584023185,0.0,0.0,0.0006658349182918,,gc-utd-poly
48,25.83464503288269,0.7345454545454545,18603.454545454544,5651.545454545455,0.0044519854709506,,gc-utd-poly
49,26.96829485893249,0.7854545454545455,18603.454545454544,5651.545454545455,0.0061729955486953,,gc-utd-poly
50,0,28.869812965393063,0.44636363636363635,17880.909090909092,6374.090909090909,0.0136303286999464,lovejack-utd-kiri
51,1,28.971726655960083,0.45545454545454545,17881.636363636364,6373.363636363636,0.012875341810286,lovejack-utd-kiri
52,2,29.002195119857788,0.45454545454545453,17880.18181818182,6374.818181818182,0.0121390027925372,lovejack-utd-kiri
53,3,29.0654890537262,0.46,17882.18181818182,6372.818181818182,0.0127631025388836,lovejack-utd-kiri
54,4,28.97765684127808,0.47181818181818175,17894.727272727272,6360.272727272727,0.0121061420068144,lovejack-utd-kiri
55,avg,std,min,max,,,lovejack-utd-kiri
56,28.97737612724304,0.4576363636363636,17883.927272727276,6371.072727272728,0.0127027835696935,,lovejack-utd-kiri
57,0.07067831937933382,0.009328708023538383,6.084256882986765,6.084256882987693,0.0006260160965067,,lovejack-utd-kiri
58,28.869812965393063,0.44636363636363635,17880.18181818182,6360.272727272727,0.0121061420068144,,lovejack-utd-kiri
59,29.0654890537262,0.47181818181818175,17894.727272727272,6374.818181818182,0.0136303286999464,,lovejack-utd-kiri
